target_id,node_index,candidate_order
AAGAB,1577,0
AATF,1578,1
ABAT,1579,2
ABCA1,1580,3
ABCB1,1581,4
ABCB11,1582,5
ABCB4,1583,6
ABCB6,1584,7
ABCC1,1585,8
ABCC2,1586,9
ABCC3,1587,10
ABCC4,1588,11
ABCC5,1589,12
ABCF3,1590,13
ABCG1,1591,14
ABCG2,1592,15
ABCG5,1593,16
ABCG8,1594,17
ABHD12,1595,18
ABHD15,1596,19
ABHD6,1597,20
ABL1,1598,21
ABL2,1599,22
ACACA,1600,23
ACAD10,1601,24
ACADM,1602,25
ACAN,1603,26
ACAT1,1604,27
ACE,1605,28
ACE2,1606,29
ACHE,1607,30
ACLY,1608,31
ACOX1,1609,32
ACP1,1610,33
ACP5,1611,34
ACTA2,1612,35
ACVR1,1613,36
ADA,1614,37
ADAM10,1615,38
ADAM17,1616,39
ADAM9,1617,40
ADAMTS4,1618,41
ADAMTS5,1619,42
ADCY8,1620,43
ADCYAP1,1621,44
ADH1C,1622,45
ADH4,1623,46
ADH5,1624,47
ADIPOQ,1625,48
ADIPOR1,1626,49
ADIPOR2,1627,50
ADK,1628,51
ADM,1629,52
ADORA1,1630,53
ADORA2A,1631,54
ADORA2B,1632,55
ADORA3,1633,56
ADRA1A,1634,57
ADRA1B,1635,58
ADRA1D,1636,59
ADRA2A,1637,60
ADRA2B,1638,61
ADRA2C,1639,62
ADRB1,1640,63
ADRB2,1641,64
ADRB3,1642,65
AFP,1643,66
AGER,1644,67
AGL,1645,68
AGRN,1646,69
AGRP,1647,70
AGT,1648,71
AGTR1,1649,72
AGTR2,1650,73
AGTRAP,1651,74
AHCY,1652,75
AHCYL1,1653,76
AHR,1654,77
AHSG,1655,78
AIFM1,1656,79
AKAP12,1657,80
AKR1A1,1658,81
AKR1B1,1659,82
AKR1B10,1660,83
AKR1C1,1661,84
AKR1C2,1662,85
AKR1C3,1663,86
AKR1C4,1664,87
AKT1,1665,88
AKT2,1666,89
ALAS1,1667,90
ALB,1668,91
ALDH1A1,1669,92
ALDH1A2,1670,93
ALDH1A3,1671,94
ALDH1B1,1672,95
ALDH2,1673,96
ALDH3A1,1674,97
ALDH5A1,1675,98
ALDH7A1,1676,99
ALDOB,1677,100
ALK,1678,101
ALKBH1,1679,102
ALKBH2,1680,103
ALKBH3,1681,104
ALKBH5,1682,105
ALOX12,1683,106
ALOX15,1684,107
ALOX15B,1685,108
ALOX5,1686,109
ALOX5AP,1687,110
ALPG,1688,111
ALPI,1689,112
ALPL,1690,113
AMER1,1691,114
AMH,1692,115
AMY1A,1693,116
AMY2A,1694,117
ANGPT1,1695,118
ANGPT2,1696,119
ANGPTL4,1697,120
ANO1,1698,121
ANPEP,1699,122
ANXA1,1700,123
AOX1,1701,124
APAF1,1702,125
APC,1703,126
APEX1,1704,127
APLN,1705,128
APOA1,1706,129
APOA4,1707,130
APOA5,1708,131
APOB,1709,132
APOBEC3A,1710,133
APOBEC3B,1711,134
APOBEC3G,1712,135
APOD,1713,136
APOE,1714,137
APOF,1715,138
APOM,1716,139
APP,1717,140
AQP1,1718,141
AQP2,1719,142
AQP3,1720,143
AQP4,1721,144
AQP5,1722,145
AQP7,1723,146
AQP8,1724,147
AQP9,1725,148
AR,1726,149
ARC,1727,150
ARF1,1728,151
ARG1,1729,152
ARG2,1730,153
ARRB1,1731,154
ASCL1,1732,155
ASGR1,1733,156
ASIC3,1734,157
ASPH,1735,158
ATAD2,1736,159
ATF2,1737,160
ATF3,1738,161
ATF4,1739,162
ATF6,1740,163
ATG12,1741,164
ATG4B,1742,165
ATG5,1743,166
ATG7,1744,167
ATIC,1745,168
ATM,1746,169
ATP1A1,1747,170
ATP2A1,1748,171
ATP2A2,1749,172
ATP2A3,1750,173
ATP4A,1751,174
ATP5F1B,1752,175
ATP6AP2,1753,176
ATP7A,1754,177
ATR,1755,178
AURKA,1756,179
AURKB,1757,180
AVP,1758,181
AVPR1A,1759,182
AVPR1B,1760,183
AVPR2,1761,184
AXIN1,1762,185
AXIN2,1763,186
AXL,1764,187
AZIN2,1765,188
B2M,1766,189
BACE1,1767,190
BACH1,1768,191
BAD,1769,192
BAK1,1770,193
BAP1,1771,194
BARD1,1772,195
BAX,1773,196
BBC3,1774,197
BBOX1,1775,198
BCHE,1776,199
BCL11A,1777,200
BCL2,1778,201
BCL2A1,1779,202
BCL2L1,1780,203
BCL2L10,1781,204
BCL2L11,1782,205
BCL2L12,1783,206
BCL2L2,1784,207
BDKRB2,1785,208
BDNF,1786,209
