node_id,node_type
C0001,compound
C0002,compound
C0003,compound
C0004,compound
C0005,compound
C0006,compound
C0007,compound
C0008,compound
C0009,compound
C0010,compound
C0011,compound
C0012,compound
C0013,compound
C0014,compound
C0015,compound
C0016,compound
C0017,compound
C0019,compound
C0020,compound
C0022,compound
C0023,compound
C0024,compound
C0025,compound
C0026,compound
C0027,compound
C0028,compound
C0029,compound
C0030,compound
C0031,compound
C0033,compound
C0034,compound
C0035,compound
C0036,compound
C0037,compound
C0038,compound
C0039,compound
C0040,compound
C0041,compound
C0042,compound
C0043,compound
C0044,compound
C0045,compound
C0046,compound
C0047,compound
C0048,compound
C0049,compound
C0050,compound
C0051,compound
C0052,compound
C0053,compound
C0054,compound
C0055,compound
C0056,compound
C0057,compound
C0058,compound
C0059,compound
C0060,compound
C0061,compound
C0062,compound
C0063,compound
C0064,compound
C0065,compound
C0066,compound
C0067,compound
C0068,compound
C0069,compound
C0070,compound
C0071,compound
C0072,compound
C0073,compound
C0074,compound
C0075,compound
C0076,compound
C0077,compound
C0078,compound
C0079,compound
C0080,compound
C0081,compound
C0082,compound
C0083,compound
C0084,compound
C0085,compound
C0086,compound
C0087,compound
C0088,compound
C0089,compound
C0090,compound
C0091,compound
C0093,compound
C0094,compound
C0095,compound
C0096,compound
C0097,compound
C0098,compound
C0099,compound
C0100,compound
C0101,compound
C0102,compound
C0103,compound
C0104,compound
C0105,compound
C0106,compound
C0107,compound
C0108,compound
C0109,compound
C0110,compound
C0112,compound
C0113,compound
C0114,compound
C0115,compound
C0116,compound
C0118,compound
C0119,compound
C0122,compound
C0123,compound
C0124,compound
C0125,compound
C0126,compound
C0127,compound
C0128,compound
C0129,compound
C0130,compound
C0132,compound
C0133,compound
C0134,compound
C0135,compound
C0136,compound
C0137,compound
C0138,compound
C0139,compound
C0140,compound
C0141,compound
C0142,compound
C0143,compound
C0144,compound
C0145,compound
C0146,compound
C0147,compound
C0148,compound
C0149,compound
C0150,compound
C0151,compound
C0152,compound
C0153,compound
C0154,compound
C0155,compound
C0156,compound
C0157,compound
C0158,compound
C0159,compound
C0160,compound
C0161,compound
C0162,compound
C0163,compound
C0164,compound
C0166,compound
C0167,compound
C0168,compound
C0169,compound
C0170,compound
C0171,compound
C0172,compound
C0173,compound
C0174,compound
C0175,compound
C0176,compound
C0177,compound
C0178,compound
C0179,compound
C0180,compound
C0181,compound
C0182,compound
C0183,compound
C0184,compound
C0185,compound
C0186,compound
C0187,compound
C0188,compound
C0189,compound
C0190,compound
C0191,compound
C0192,compound
C0193,compound
C0194,compound
C0196,compound
C0197,compound
C0198,compound
C0199,compound
C0200,compound
C0201,compound
C0202,compound
C0203,compound
C0204,compound
C0205,compound
C0206,compound
C0207,compound
C0208,compound
C0209,compound
C0210,compound
C0211,compound
C0212,compound
C0213,compound
C0214,compound
C0215,compound
C0216,compound
C0218,compound
C0219,compound
C0220,compound
C0221,compound
C0222,compound
C0223,compound
C0224,compound
C0225,compound
C0226,compound
C0227,compound
C0228,compound
C0229,compound
C0230,compound
C0231,compound
C0232,compound
C0233,compound
C0235,compound
C0236,compound
C0237,compound
C0238,compound
C0239,compound
C0240,compound
C0241,compound
C0242,compound
C0243,compound
C0244,compound
C0245,compound
C0246,compound
C0247,compound
C0248,compound
C0249,compound
C0250,compound
C0251,compound
C0252,compound
C0253,compound
C0254,compound
C0255,compound
C0256,compound
C0257,compound
C0258,compound
C0259,compound
C0260,compound
C0261,compound
C0262,compound
C0263,compound
C0264,compound
C0265,compound
C0266,compound
C0267,compound
C0268,compound
C0269,compound
C0270,compound
C0271,compound
C0272,compound
C0273,compound
C0274,compound
C0275,compound
C0276,compound
C0277,compound
C0278,compound
C0279,compound
C0280,compound
C0281,compound
C0282,compound
C0283,compound
C0284,compound
C0285,compound
C0286,compound
C0287,compound
C0288,compound
C0289,compound
C0290,compound
C0291,compound
C0292,compound
C0293,compound
C0294,compound
C0295,compound
C0296,compound
C0297,compound
C0298,compound
C0299,compound
C0300,compound
C0301,compound
C0302,compound
C0303,compound
C0304,compound
C0305,compound
C0306,compound
C0307,compound
C0308,compound
C0309,compound
C0310,compound
C0311,compound
C0312,compound
C0314,compound
C0315,compound
C0316,compound
C0317,compound
C0318,compound
C0320,compound
C0321,compound
C0322,compound
C0323,compound
C0324,compound
C0325,compound
C0326,compound
C0327,compound
C0328,compound
C0329,compound
C0330,compound
C0331,compound
C0332,compound
C0333,compound
C0334,compound
C0335,compound
C0336,compound
C0337,compound
C0338,compound
C0339,compound
C0340,compound
C0342,compound
C0343,compound
C0344,compound
C0345,compound
C0346,compound
C0347,compound
C0348,compound
C0349,compound
C0350,compound
C0351,compound
C0352,compound
C0353,compound
C0354,compound
C0355,compound
C0356,compound
C0357,compound
C0358,compound
C0359,compound
C0361,compound
C0362,compound
C0363,compound
C0364,compound
C0365,compound
C0366,compound
C0368,compound
C0369,compound
C0370,compound
C0371,compound
C0372,compound
C0373,compound
C0374,compound
C0375,compound
C0376,compound
C0377,compound
C0378,compound
C0379,compound
C0380,compound
C0381,compound
C0382,compound
C0383,compound
C0384,compound
C0385,compound
C0386,compound
C0387,compound
C0388,compound
C0389,compound
C0390,compound
C0391,compound
C0392,compound
C0393,compound
C0394,compound
C0395,compound
C0396,compound
C0397,compound
C0398,compound
C0399,compound
C0400,compound
C0401,compound
C0402,compound
C0403,compound
C0404,compound
C0405,compound
C0406,compound
C0407,compound
C0408,compound
C0409,compound
C0410,compound
C0411,compound
C0412,compound
C0413,compound
C0414,compound
C0415,compound
C0416,compound
C0417,compound
C0418,compound
C0419,compound
C0420,compound
C0421,compound
C0422,compound
C0423,compound
C0424,compound
C0425,compound
C0426,compound
C0427,compound
C0428,compound
C0429,compound
C0430,compound
