herb_id,compound_id
H0002,C0054
H0002,C0063
H0002,C0064
H0002,C0073
H0002,C0081
H0002,C0133
H0002,C0156
H0002,C0157
H0002,C0163
H0002,C0164
H0002,C0188
H0002,C0189
H0002,C0242
H0002,C0259
H0002,C0262
H0002,C0263
H0002,C0285
H0002,C0362
H0002,C0374
H0002,C0377
H0002,C0419
H0002,C0498
H0002,C0504
H0002,C0522
H0002,C0523
H0002,C0547
H0002,C0548
H0002,C0771
H0002,C0808
H0002,C0845
H0002,C0905
H0002,C0935
H0002,C1162
H0002,C1209
H0002,C1218
H0002,C1231
H0002,C1243
H0580,C0133
H0580,C0157
H0580,C0164
H0580,C0189
H0580,C0263
H0580,C0352
H0580,C0377
H0580,C0399
H0580,C0504
H0580,C0914
H0580,C0935
H0580,C1231
H0580,C1237
H0581,C0133
H0581,C0157
H0581,C0164
H0581,C0189
H0581,C0263
H0581,C0352
H0581,C0377
H0581,C0399
H0581,C0504
H0581,C0914
H0581,C0935
H0581,C1231
H0581,C1237
H0582,C0072
H0582,C0089
H0582,C0239
H0582,C0242
H0582,C0305
H0582,C0312
H0582,C0377
H0582,C0519
H0582,C0523
H0582,C0548
H0582,C0808
H0582,C1162
H0582,C1178
H0582,C1216
H0582,C1220
H0582,C1226
H0582,C1237
H0582,C1241
H0583,C0133
H0583,C0157
H0583,C0164
H0583,C0189
H0583,C0263
H0583,C0352
H0583,C0377
H0583,C0399
H0583,C0504
H0583,C0914
H0583,C0935
H0583,C1231
H0583,C1237
H0584,C0190
H0584,C0400
H0584,C0416
H0585,C0053
H0585,C0063
H0585,C0064
H0585,C0065
H0585,C0087
H0585,C0102
H0585,C0133
H0585,C0143
H0585,C0156
H0585,C0157
H0585,C0188
H0585,C0189
H0585,C0190
H0585,C0219
H0585,C0228
H0585,C0231
H0585,C0285
H0585,C0352
H0585,C0366
H0585,C0377
H0585,C0391
H0585,C0392
H0585,C0393
H0585,C0416
H0585,C0447
H0585,C0455
H0585,C0479
H0585,C0504
H0585,C0510
H0585,C0523
H0585,C0524
H0585,C0528
H0585,C0547
H0585,C0548
H0585,C0771
H0585,C0923
H0585,C1162
H0585,C1178
H0585,C1203
H0585,C1209
H0585,C1218
H0585,C1231
H0585,C1245
H0585,C1247
H0585,C1259
H0586,C0372
H0587,C0372
H0588,C0063
H0589,C0794
H0590,C0040
H0590,C0189
H0590,C0219
H0590,C0251
H0590,C0259
H0590,C0285
H0590,C0447
H0590,C0478
H0590,C0528
H0590,C0905
H0590,C1178
H0591,C0090
H0591,C0164
H0591,C0262
H0591,C0352
H0591,C0476
H0591,C1180
H0592,C0040
H0592,C0189
H0592,C0219
H0592,C0251
H0592,C0259
H0592,C0285
H0592,C0447
H0592,C0478
H0592,C0528
H0592,C0905
H0592,C1178
H0593,C1173
H0593,C1202
H0595,C0064
H0595,C0086
H0595,C0189
H0595,C0335
H0595,C1162
H0595,C1173
H0595,C1245
H0597,C0190
H0597,C0400
H0597,C0416
H0598,C0533
H0599,C0533
H0600,C0533
H0601,C0064
H0601,C0114
H0601,C0119
H0601,C0156
H0601,C0173
H0601,C0242
H0601,C0243
H0601,C0285
H0601,C0352
H0601,C0377
H0601,C0420
H0601,C0425
H0601,C0429
H0601,C0808
H0601,C0927
H0601,C1162
H0601,C1178
H0601,C1203
H0601,C1220
H0601,C1231
H0601,C1241
H0601,C1246
H0602,C0064
H0602,C0114
H0602,C0119
H0602,C0156
H0602,C0173
H0602,C0242
H0602,C0243
H0602,C0285
H0602,C0352
H0602,C0377
H0602,C0420
H0602,C0425
H0602,C0429
H0602,C0808
H0602,C0927
H0602,C1162
H0602,C1178
H0602,C1203
H0602,C1220
H0602,C1231
H0602,C1241
H0602,C1246
H0603,C0107
H0603,C0377
H0603,C0504
H0603,C0841
H0603,C1205
H0605,C0014
H0605,C0072
H0605,C0102
H0605,C0133
H0605,C0156
H0605,C0188
H0605,C0240
H0605,C0254
H0605,C0291
H0605,C0307
H0605,C0333
H0605,C0352
H0605,C0377
H0605,C0383
H0605,C0389
H0605,C0390
H0605,C0504
H0605,C0510
H0605,C0523
H0605,C0547
H0605,C0615
H0605,C0629
H0605,C0638
H0605,C0697
H0605,C0724
H0605,C0752
H0605,C0894
H0605,C0927
H0605,C1166
H0605,C1176
H0605,C1231
H0605,C1234
H0605,C1245
H0605,C1246
H0605,C1247
H0605,C1248
H0605,C1253
H0605,C1258
H0606,C0014
H0606,C0072
H0606,C0102
H0606,C0133
H0606,C0156
H0606,C0188
H0606,C0240
H0606,C0254
H0606,C0291
H0606,C0307
H0606,C0333
H0606,C0352
H0606,C0377
H0606,C0383
H0606,C0389
H0606,C0390
H0606,C0504
H0606,C0510
H0606,C0523
H0606,C0547
H0606,C0927
H0606,C1166
H0606,C1176
H0606,C1231
H0606,C1234
H0606,C1245
H0606,C1246
H0606,C1247
H0606,C1248
H0606,C1253
H0606,C1258
H0607,C0014
H0607,C0072
H0607,C0102
H0607,C0133
H0607,C0156
H0607,C0188
H0607,C0240
H0607,C0254
H0607,C0291
H0607,C0307
H0607,C0333
H0607,C0352
H0607,C0377
H0607,C0383
H0607,C0389
H0607,C0390
H0607,C0504
H0607,C0510
H0607,C0523
H0607,C0547
H0607,C0927
H0607,C1166
H0607,C1176
H0607,C1231
H0607,C1234
H0607,C1245
