herb_id,target_id
H0002,ABCC2
H0002,ABHD15
H0002,ACHE
H0002,AHR
H0002,AKT1
H0002,ANO1
H0002,AOX1
H0002,APOM
H0002,AQP3
H0002,AQP9
H0002,ATF3
H0002,AXL
H0002,BAX
H0002,BCHE
H0002,BCL2
H0002,BCL2L1
H0002,BDNF
H0002,CASP3
H0002,CAT
H0002,CCK
H0002,CDKN1A
H0002,CETP
H0002,CFTR
H0002,CRP
H0002,CRTC2
H0002,CSF2
H0002,CTNNB1
H0002,CXCL8
H0002,CXCR4
H0002,CYP19A1
H0002,CYP1A2
H0002,CYP1B1
H0002,CYP2C19
H0002,CYP2C9
H0002,CYP2E1
H0002,CYP3A4
H0002,DNPEP
H0002,EDN1
H0002,ENO2
H0002,ERBB2
H0002,F3
H0002,FABP1
H0002,FABP5
H0002,FASLG
H0002,FOLH1
H0002,FOS
H0002,G6PC1
H0002,G6PD
H0002,GAA
H0002,GAP43
H0002,GCG
H0002,GLP1R
H0002,GUCA2A
H0002,HDC
H0002,HMGCR
H0002,HPCA
H0002,HSD11B2
H0002,HSP90AA1
H0002,HSPA5
H0002,IDE
H0002,IGF2
H0002,IGHE
H0002,IL10
H0002,IL13
H0002,IL1A
H0002,IL1B
H0002,IL2
H0002,IL4
H0002,IL5
H0002,INS
H0002,IRAK4
H0002,ITGB3
H0002,JUN
H0002,LALBA
H0002,LDLR
H0002,MAOA
H0002,MAOB
H0002,MAP2K1
H0002,MAP2K2
H0002,MAPK1
H0002,MAPK3
H0002,MAPK8
H0002,MMP13
H0002,MMP2
H0002,MMP3
H0002,MMP9
H0002,MPO
H0002,MRC1
H0002,MSI1
H0002,MT2A
H0002,MYC
H0002,NFE2L2
H0002,NFKB1
H0002,NFKBIA
H0002,NGB
H0002,NOS2
H0002,NOTCH1
H0002,NPY
H0002,NR1H3
H0002,NTRK2
H0002,PAM
H0002,PDX1
H0002,PEA15
H0002,PIN1
H0002,PLG
H0002,PON1
H0002,PPARA
H0002,PPARD
H0002,PPARG
H0002,PRDX2
H0002,PRKAA1
H0002,PRL
H0002,PRSS1
H0002,PTEN
H0002,PTGS2
H0002,PTPN1
H0002,PVALB
H0002,RBP2
H0002,RELA
H0002,SERPINE1
H0002,SFTPA1
H0002,SLC2A2
H0002,SMAD3
H0002,SOAT1
H0002,SOD1
H0002,SOD2
H0002,STAT5A
H0002,STAT5B
