node_id,node_uid,node_type,node_name,original_id,database_source,standardized_name,external_id,chembl_id,smiles,pubchem_cid,uniprot_id,gene_symbol,new_target_from_chembl,notes
H0001,herb:H0001,herb,H0001,H0001,HERB project raw files,H0001,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0002,herb:H0002,herb,Foeniculum vulgare,H0002,HERB project raw files,Foeniculum vulgare,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0003,herb:H0003,herb,H0003,H0003,HERB project raw files,H0003,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0004,herb:H0004,herb,H0004,H0004,HERB project raw files,H0004,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0005,herb:H0005,herb,H0005,H0005,HERB project raw files,H0005,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0006,herb:H0006,herb,H0006,H0006,HERB project raw files,H0006,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0007,herb:H0007,herb,H0007,H0007,HERB project raw files,H0007,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0008,herb:H0008,herb,H0008,H0008,HERB project raw files,H0008,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0009,herb:H0009,herb,H0009,H0009,HERB project raw files,H0009,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0010,herb:H0010,herb,H0010,H0010,HERB project raw files,H0010,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0011,herb:H0011,herb,H0011,H0011,HERB project raw files,H0011,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0012,herb:H0012,herb,H0012,H0012,HERB project raw files,H0012,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0013,herb:H0013,herb,H0013,H0013,HERB project raw files,H0013,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0014,herb:H0014,herb,H0014,H0014,HERB project raw files,H0014,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0015,herb:H0015,herb,H0015,H0015,HERB project raw files,H0015,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0016,herb:H0016,herb,H0016,H0016,HERB project raw files,H0016,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0017,herb:H0017,herb,H0017,H0017,HERB project raw files,H0017,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0018,herb:H0018,herb,H0018,H0018,HERB project raw files,H0018,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0019,herb:H0019,herb,H0019,H0019,HERB project raw files,H0019,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0020,herb:H0020,herb,H0020,H0020,HERB project raw files,H0020,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0021,herb:H0021,herb,H0021,H0021,HERB project raw files,H0021,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0022,herb:H0022,herb,H0022,H0022,HERB project raw files,H0022,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0023,herb:H0023,herb,H0023,H0023,HERB project raw files,H0023,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0024,herb:H0024,herb,H0024,H0024,HERB project raw files,H0024,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0025,herb:H0025,herb,H0025,H0025,HERB project raw files,H0025,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0026,herb:H0026,herb,H0026,H0026,HERB project raw files,H0026,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0027,herb:H0027,herb,H0027,H0027,HERB project raw files,H0027,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0028,herb:H0028,herb,H0028,H0028,HERB project raw files,H0028,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0029,herb:H0029,herb,H0029,H0029,HERB project raw files,H0029,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0030,herb:H0030,herb,H0030,H0030,HERB project raw files,H0030,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0031,herb:H0031,herb,H0031,H0031,HERB project raw files,H0031,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0032,herb:H0032,herb,H0032,H0032,HERB project raw files,H0032,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0033,herb:H0033,herb,H0033,H0033,HERB project raw files,H0033,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0034,herb:H0034,herb,H0034,H0034,HERB project raw files,H0034,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0035,herb:H0035,herb,H0035,H0035,HERB project raw files,H0035,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0036,herb:H0036,herb,H0036,H0036,HERB project raw files,H0036,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0037,herb:H0037,herb,H0037,H0037,HERB project raw files,H0037,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0038,herb:H0038,herb,H0038,H0038,HERB project raw files,H0038,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0039,herb:H0039,herb,H0039,H0039,HERB project raw files,H0039,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0040,herb:H0040,herb,H0040,H0040,HERB project raw files,H0040,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0041,herb:H0041,herb,H0041,H0041,HERB project raw files,H0041,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0042,herb:H0042,herb,H0042,H0042,HERB project raw files,H0042,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0043,herb:H0043,herb,H0043,H0043,HERB project raw files,H0043,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0044,herb:H0044,herb,H0044,H0044,HERB project raw files,H0044,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0045,herb:H0045,herb,H0045,H0045,HERB project raw files,H0045,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0046,herb:H0046,herb,H0046,H0046,HERB project raw files,H0046,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0047,herb:H0047,herb,H0047,H0047,HERB project raw files,H0047,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0048,herb:H0048,herb,H0048,H0048,HERB project raw files,H0048,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0049,herb:H0049,herb,H0049,H0049,HERB project raw files,H0049,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0050,herb:H0050,herb,H0050,H0050,HERB project raw files,H0050,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0051,herb:H0051,herb,H0051,H0051,HERB project raw files,H0051,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0052,herb:H0052,herb,H0052,H0052,HERB project raw files,H0052,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0053,herb:H0053,herb,H0053,H0053,HERB project raw files,H0053,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0054,herb:H0054,herb,H0054,H0054,HERB project raw files,H0054,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0055,herb:H0055,herb,H0055,H0055,HERB project raw files,H0055,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0056,herb:H0056,herb,H0056,H0056,HERB project raw files,H0056,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0057,herb:H0057,herb,H0057,H0057,HERB project raw files,H0057,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0058,herb:H0058,herb,H0058,H0058,HERB project raw files,H0058,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0059,herb:H0059,herb,H0059,H0059,HERB project raw files,H0059,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0060,herb:H0060,herb,H0060,H0060,HERB project raw files,H0060,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0061,herb:H0061,herb,H0061,H0061,HERB project raw files,H0061,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0063,herb:H0063,herb,H0063,H0063,HERB project raw files,H0063,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0064,herb:H0064,herb,H0064,H0064,HERB project raw files,H0064,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0065,herb:H0065,herb,H0065,H0065,HERB project raw files,H0065,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
