herb_internal_target_id,source_row_count,source_physical_line_min,source_physical_line_max,consensus_gene_symbol,all_gene_symbols,consensus_uniprot_value,all_uniprot_values,consensus_protein_name,all_protein_names,group_gene_conflict,group_uniprot_conflict,group_protein_name_conflict,resolved_current_target_id,canonical_target_id,approved_operation,mapping_status,resolution_basis
T00BH5,3,1022,24106,MT-ND2,MT-ND2,P03891,P03891,NADH-ubiquinone oxidoreductase chain 2,NADH-ubiquinone oxidoreductase chain 2,False,False,False,MT-ND2,MT-ND2,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00CXT,236,504,89702,PTGS1,PTGS1,P23219,P23219,Prostaglandin G/H synthase 1,Prostaglandin G/H synthase 1,False,False,False,PTGS1,PTGS1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00DCR,1,21583,21583,GAMT,GAMT,Q14353,Q14353,Guanidinoacetate N-methyltransferase,Guanidinoacetate N-methyltransferase,False,False,False,GAMT,GAMT,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00E4L,2,21915,32686,PNPO,PNPO,Q9NVS9,Q9NVS9,Pyridoxine-5'-phosphate oxidase,Pyridoxine-5'-phosphate oxidase,False,False,False,PNPO,PNPO,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00EP2,171,479,89680,PLAT,PLAT,P00750,P00750,Tissue-type plasminogen activator,Tissue-type plasminogen activator,False,False,False,PLAT,PLAT,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00F43,33,15548,75923,MDC1,MDC1,Q14676,Q14676,Mediator of DNA damage checkpoint protein 1,Mediator of DNA damage checkpoint protein 1,False,False,False,MDC1,MDC1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00H7Q,167,512,89707,NCF1,NCF1,P14598,P14598,Neutrophil cytosol factor 1,Neutrophil cytosol factor 1,False,False,False,NCF1,NCF1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00HDE,15,1006,85471,PARK7,PARK7,Q99497,Q99497,Parkinson disease protein 7,Parkinson disease protein 7,False,False,False,PARK7,PARK7,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00KKS,92,220,87021,SLC5A5,SLC5A5,Q92911,Q92911,Sodium/iodide cotransporter,Sodium/iodide cotransporter,False,False,False,SLC5A5,SLC5A5,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00OVG,28,807,88490,SEMA3A,SEMA3A,Q14563,Q14563,Semaphorin-3A,Semaphorin-3A,False,False,False,SEMA3A,SEMA3A,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00QMT,92,241,87055,MIR15B,MIR15B,,,,,False,False,False,,,EXCLUDE_NOT_IN_APPROVED_PRIMARY_TARGET_UNIVERSE,EXCLUDED_NOT_IN_APPROVED_PRIMARY_TARGET_UNIVERSE,not in approved primary target universe
T00RT4,30,1098,85542,IMPDH1,IMPDH1,P20839,P20839,Inosine-5'-monophosphate dehydrogenase 1,Inosine-5'-monophosphate dehydrogenase 1,False,False,False,IMPDH1,IMPDH1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00RU5,3,17419,84878,H1-0,H1-0,P07305,P07305,Histone H1.0,Histone H1.0,False,False,False,H1-0,H1-0,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00T99,27,717,89399,AHCYL1,AHCYL1,O43865,O43865,S-adenosylhomocysteine hydrolase-like protein 1,S-adenosylhomocysteine hydrolase-like protein 1,False,False,False,AHCYL1,AHCYL1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00T9M,143,184,89303,THBS1,THBS1,P07996,P07996,Thrombospondin-1,Thrombospondin-1,False,False,False,THBS1,THBS1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00VII,1,21127,21127,OSR2,OSR2,Q8N2R0,Q8N2R0,Protein odd-skipped-related 2,Protein odd-skipped-related 2,False,False,False,OSR2,OSR2,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00VON,13,22100,85552,UGCG,UGCG,Q16739,Q16739,Ceramide glucosyltransferase,Ceramide glucosyltransferase,False,False,False,UGCG,UGCG,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00YE6,1,77289,77289,CD276,CD276,Q5ZPR3,Q5ZPR3,CD276 antigen,CD276 antigen,False,False,False,CD276,CD276,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00YMY,12,3676,85431,BCL2A1,BCL2A1,Q16548,Q16548,Bcl-2-related protein A1,Bcl-2-related protein A1,False,False,False,BCL2A1,BCL2A1,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
T00YTT,4,11253,48642,CNP,CNP,P09543,P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase","2',3'-cyclic-nucleotide 3'-phosphodiesterase",False,False,False,CNP,CNP,RETAIN_CANONICAL_GENE,INCLUDED_CANONICAL_TARGET,group consensus gene symbol then frozen authority mapping
