positive_degree_bin,partition,count,global_bin_count,actual_bin_proportion,target_proportion,absolute_deviation
D01_1_4,train,60,62,0.967741935483871,0.8,0.16774193548387095
D01_1_4,validation,0,62,0.0,0.1,0.1
D01_1_4,test,2,62,0.03225806451612903,0.1,0.06774193548387097
D02_5_9,train,31,37,0.8378378378378378,0.8,0.037837837837837784
D02_5_9,validation,1,37,0.02702702702702703,0.1,0.07297297297297298
D02_5_9,test,5,37,0.13513513513513514,0.1,0.03513513513513514
D03_10_19,train,48,73,0.6575342465753424,0.8,0.14246575342465762
D03_10_19,validation,12,73,0.1643835616438356,0.1,0.0643835616438356
D03_10_19,test,13,73,0.1780821917808219,0.1,0.0780821917808219
D04_20_49,train,79,120,0.6583333333333333,0.8,0.14166666666666672
D04_20_49,validation,21,120,0.175,0.1,0.07499999999999998
D04_20_49,test,20,120,0.16666666666666666,0.1,0.06666666666666665
D05_50_99,train,80,87,0.9195402298850575,0.8,0.11954022988505741
D05_50_99,validation,5,87,0.05747126436781609,0.1,0.042528735632183914
D05_50_99,test,2,87,0.022988505747126436,0.1,0.07701149425287357
D06_100_199,train,72,83,0.8674698795180723,0.8,0.06746987951807226
D06_100_199,validation,8,83,0.0963855421686747,0.1,0.0036144578313253017
D06_100_199,test,3,83,0.03614457831325301,0.1,0.06385542168674699
D07_200_399,train,146,184,0.7934782608695652,0.8,0.006521739130434856
D07_200_399,validation,18,184,0.09782608695652174,0.1,0.002173913043478262
D07_200_399,test,20,184,0.10869565217391304,0.1,0.008695652173913035
D08_400_PLUS,train,19,23,0.8260869565217391,0.8,0.02608695652173909
D08_400_PLUS,validation,2,23,0.08695652173913043,0.1,0.013043478260869573
D08_400_PLUS,test,2,23,0.08695652173913043,0.1,0.013043478260869573
