split_blocking_group_id,partition,benchmark_positive_herb_count,positive_pair_count,total_group_member_count,degree_bin_counts_json,tie_break_key,assignment_order,initial_partition,final_partition,moved_during_local_improvement,final_group_signature
HBG_008fb938cf34,train,1,10,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 1, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",9e6d9f6b082c31acd76fdef08f52d6c2033789fa339d3d19f6793f502afb8bcf,403,train,train,False,3bdaa6ed49989cab4a839ea1f51fe41cb26af7f7c08444101d179302e54a03ef
HBG_00cf0ff0d299,train,1,268,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 1, ""D08_400_PLUS"": 0}",8e9dc17da007b5f98c8cc607362d7eb2fe9e86e6bb9802a70e3da178d1880d91,158,train,train,False,2c41087afc4c9672ebec8126321d7dff1267fd43a605b2cc26c006ceeb015542
HBG_01280f0541a1,train,1,92,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 1, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",16d94e5a89271079b0799f922f8192c33d8877c7d15c994afd52b1120ecd9ec5,222,train,train,False,07cc63824834a14f6d032bf4fac3a9ecfca4862d9a926110d95d9117467f69f5
HBG_02844fcf48ab,train,1,317,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 1, ""D08_400_PLUS"": 0}",9c25c81810ff8d3d333ed26fffa1b8deca4247452d13b874d47f9b88a8089851,142,train,train,False,ef6300086a2f48154442252abdcd831834f87e049c32137662d6505eb83fc813
HBG_02fac5b87e7e,train,1,11,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 1, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",d920c5fd6120ca4c6b63fa5ff0ca047e7cd5e4298937675153a62028fcc893ea,397,validation,train,True,dd9f7723f33fb62d2e64412c847aea2265b746f9e6e7c5a02617459a4f05e4d8
HBG_0334116fede0,train,1,39,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 1, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",e678ba972ee6685dfb105d7d21cfde8f570207a4ff1a6ee748be8ac8bd3583a3,285,train,train,False,e39280d75fe51a6d1913e367430b99d04ee1dceda10bb2bb92c72304ac175470
HBG_03d225e78075,train,1,208,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 1, ""D08_400_PLUS"": 0}",7124260871e48f7b7f357ba0f060ae861a3651a3cf4faf0ee07d1cfd3d0aa4a0,179,train,train,False,e992df3762b583134a7ebacbff9854b9dda793da9066818a8156289bafec7102
HBG_03eceaf747d7,train,1,12,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 1, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",eada909cef78ebb050ad8842937cd9fbdfb248d20f87fba882d46e6d07b681ab,385,test,train,True,a379c631d578a3b2f7f450f6fd0fc80aedd4cedd8d0d227383c954d0d0989748
HBG_045a2b72d60d,validation,1,46,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 1, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",1d9c2f950780412b79fd077d31696912f7075aa0ecf30502d96889b539ba36e0,266,train,validation,True,9b63b40ecf0ecb9672f9ccf818ac948c6c215e5f73de41baa5acf82d3c45fe51
HBG_04cf9df84c0b,train,3,15,3,"{""D01_1_4"": 0, ""D02_5_9"": 3, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",d44d989cceef5818b2dc27f00a1541b82bc43902464ef21221af949d67547dfb,43,train,train,False,e15294b995dd8dcbb7f57a5c49b905db8e354427aa75377708665dfe5bc15b48
HBG_0620410523cb,test,1,9,1,"{""D01_1_4"": 0, ""D02_5_9"": 1, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",cb9162f776fbe6efedd4c458267262c6697b6c45c773868a604c0af787fdbd40,408,validation,test,True,9f1f0cdeedaf359960dad1e1737aad708ef205114dfb0efd9fed56a5216f2f5f
HBG_0627575a93de,train,2,132,2,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 2, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",b4f00c1dc858002c4dde72e18b57d5952fb8b6bc4bb10841685d033a24a0a8f2,82,train,train,False,847fd4a9ecc478ebe945b5b1096a71ece7521a2e14f4d9f0c3e8f105d6f9e093
HBG_06b6a964fba4,train,4,1528,4,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 4, ""D08_400_PLUS"": 0}",6628f99368c6fb3d1085401087e8fa7aae428b21932881d35565b7fe792d1c8f,10,train,train,False,7e3355a5e82ab86be86d4534fd3910dfcfbf8ff1dbb2e41101e5148984f75246
HBG_07989d057eb7,validation,1,58,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 1, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",68b00d283556e90addf70fb8fb565ca4485c29bebc51c40ef5b976d2fb98c34f,253,train,validation,True,47f4c9adcb1d80682eb237f86bf24c120d96373d2700695adca2fe08106833ea
HBG_08254f17ca2d,train,1,2,1,"{""D01_1_4"": 1, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",462905279efcae061e598b2ce8e84db39b01368155a2724d0c2de9bc253d4530,447,train,train,False,f296049a7589b28ed1b0ba751bf5b91b7c72e78adc19cf3fcb2b9863b0a912c5
HBG_082a75b7cc63,train,1,83,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 1, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",ad60cf3f322c390361f7397a1b7743999867a4d0887c1b6617d6b564f655211d,230,train,train,False,37719e3995d96cbf474e6682f283554b8645d4cd5aecdf63f7e4a0ad15edb60e
HBG_082b9891ede2,train,2,723,2,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 2, ""D08_400_PLUS"": 0}",65d4cfe06dbd4ede45584de2f2fcf59831e9c36c0c99dfd93a039e6a8bdd771a,50,train,train,False,316b334afd72f0cf10683488c7188099d442b1174597e7f788a3675e1eade4e8
HBG_08439f9bb950,train,1,11,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 1, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",5378cf5aea1ad1e1af455ffc37eb26061f28e88bd219e7cf976dc3207d5d54bd,391,train,train,False,53a0db068258ae15bdb7b14a431352b3546a8ce66e74b9a6562252e6e8c95bbc
HBG_0864ba1357c3,test,1,219,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 1, ""D08_400_PLUS"": 0}",d9772d2d65dc5b8b68cd8b4e3c481bd472f329b2ec5c558a5718c9293d29d8fd,176,train,test,True,9b46ba96f2b01e5034436898fd56760152d4dadf33cb1bfc02aff273a0444f5b
HBG_09367dd73e8b,train,4,296,4,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 4, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",9e58596f93ac5b96b80e779cc4c61a87e709327c81b51acca9dae47c71a47009,18,train,train,False,2f0881b15b57f2e3171c69da85e6547046fcea3da6e1ac623c577eb8dca10911
HBG_0a2cc1bda92c,train,2,448,2,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 2, ""D08_400_PLUS"": 0}",df8b326b2635bcdd8bed16a76849581c6ff25e52aa8ce6aaa3d246cf6f306b25,66,train,train,False,339c9299a49f41689e54745bf203b29207bfc79ffd92af3b3613e933dcf5d741
HBG_0b46ea1108ae,train,2,16,2,"{""D01_1_4"": 0, ""D02_5_9"": 2, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",578e5f61cd89fb564529ebfd2e832bf976a1b9cf210ddcf243e1adc2d3eae0a1,106,train,train,False,7f8193059f6ef7d7a26892f824f71baf2e84beaacab363f78f45d73273a47b92
HBG_0b88b4c93ec8,train,1,56,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 1, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",31c275b99f02fb61caf93adb25f1956977f46304b25195fb781631af2a8601fd,257,train,train,False,f918f766f10577ae5771eeb98c2e228af4e0f746d1f1f21a6332dd8a6a0b732b
HBG_0be7d9e6c975,train,1,13,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 1, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",0acbdbbf7465d23584534198c6f9d4b432d59be957ee00524ab2e277aad30b35,366,validation,train,True,53979923cd6b63de3114eb154ec1fdca9027fcb39c84f42dabdfd2febcad60db
HBG_0c3767419c38,train,1,7,1,"{""D01_1_4"": 0, ""D02_5_9"": 1, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 0, ""D08_400_PLUS"": 0}",802f23f248f4980f5615b0cbdcc093433a979b4b46dda81ec8b7d9c7e705333c,413,train,train,False,0cd544fb2b6858e51edf8e8c3930771ace7bca4232ea9f63675bbb821eb2cee5
HBG_0c731d1afd0f,train,2,490,2,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 2, ""D08_400_PLUS"": 0}",c501220c2d606cbf866da6728cacafacb283d2ef348ee0718c504aa8124ed650,62,train,train,False,aef75e4b284a39ae5fc0551737d7aee0ddcb5edb2f9fc8f1d70d7e8a62f56c93
HBG_0d1021cad155,validation,1,336,1,"{""D01_1_4"": 0, ""D02_5_9"": 0, ""D03_10_19"": 0, ""D04_20_49"": 0, ""D05_50_99"": 0, ""D06_100_199"": 0, ""D07_200_399"": 1, ""D08_400_PLUS"": 0}",92f32519eede818e31599cfdadd929db98784018d089712a7a2381a85d6fd721,134,train,validation,True,9f7ede12c36e0bc51846fa30bcc1d8504a8e1f20213d3b62c758d5156c068f36
