scope,metric,support_stratum,unique_positive_target_count,train_supported_pair_count,train_supported_pair_proportion,train_unsupported_pair_count,train_unsupported_pair_proportion,train_supported_unique_target_count,train_unsupported_unique_target_count
train,OVERALL,ALL,1461,69053,1.0,0,0.0,1461,0
validation,OVERALL,ALL,1175,8377,0.9704587581093606,255,0.02954124189063948,1013,162
validation,TRAIN_SUPPORT_FREQUENCY_STRATUM,S00_ZERO,162,0,0.02954124189063948,255,0.02954124189063948,0,162
validation,TRAIN_SUPPORT_FREQUENCY_STRATUM,S01_ONE,25,32,0.0037071362372567192,0,0.0037071362372567192,25,0
validation,TRAIN_SUPPORT_FREQUENCY_STRATUM,S02_2_4,99,193,0.022358665430954588,0,0.022358665430954588,99,0
validation,TRAIN_SUPPORT_FREQUENCY_STRATUM,S03_5_9,97,184,0.021316033364226137,0,0.021316033364226137,97,0
validation,TRAIN_SUPPORT_FREQUENCY_STRATUM,S04_10_PLUS,792,7968,0.9230769230769231,0,0.9230769230769231,792,0
test,OVERALL,ALL,956,8580,0.9939759036144579,52,0.006024096385542169,910,46
test,TRAIN_SUPPORT_FREQUENCY_STRATUM,S00_ZERO,46,0,0.006024096385542169,52,0.006024096385542169,0,46
test,TRAIN_SUPPORT_FREQUENCY_STRATUM,S01_ONE,7,11,0.0012743280815569972,0,0.0012743280815569972,7,0
test,TRAIN_SUPPORT_FREQUENCY_STRATUM,S02_2_4,64,281,0.03255329008341057,0,0.03255329008341057,64,0
test,TRAIN_SUPPORT_FREQUENCY_STRATUM,S03_5_9,86,275,0.03185820203892493,0,0.03185820203892493,86,0
test,TRAIN_SUPPORT_FREQUENCY_STRATUM,S04_10_PLUS,753,8013,0.9282900834105653,0,0.9282900834105653,753,0
