herb_id,split_blocking_group_id,positive_degree,compound_context_count
H0002,HBG_c7cf09940944,145,37
H0580,HBG_fbcf4eab591b,78,13
H0581,HBG_fbcf4eab591b,345,13
H0582,HBG_da6b646a90bc,189,18
H0583,HBG_fbcf4eab591b,345,13
H0584,HBG_9fde26f6e7c1,23,3
H0585,HBG_9a29e1334a62,316,45
H0586,HBG_c93376fdd4f4,1,1
H0587,HBG_c93376fdd4f4,1,1
H0588,HBG_eb45a6a5bba1,9,1
H0589,HBG_8018479382da,7,1
H0590,HBG_8f7b1fcc65a2,65,11
H0591,HBG_747ee4596665,260,6
H0592,HBG_8f7b1fcc65a2,65,11
H0593,HBG_08254f17ca2d,2,2
H0595,HBG_6d6823fd90b5,46,7
H0597,HBG_9fde26f6e7c1,23,3
H0598,HBG_32aaba810db6,2,1
H0599,HBG_32aaba810db6,2,1
H0600,HBG_32aaba810db6,2,1
H0601,HBG_6bf526c7746c,299,22
H0602,HBG_6bf526c7746c,299,22
H0603,HBG_01280f0541a1,92,5
H0605,HBG_17e0687d24b6,331,38
H0606,HBG_17e0687d24b6,160,31
H0607,HBG_17e0687d24b6,326,31
H0608,HBG_17e0687d24b6,326,31
H0609,HBG_17e0687d24b6,326,31
H0611,HBG_bc5cd7b0cd65,1,1
H0612,HBG_4aa7f6bd737f,269,14
H0614,HBG_00cf0ff0d299,268,21
H0615,HBG_f87bca8aa9da,108,10
H0616,HBG_db1d114655ba,28,4
H0618,HBG_0be7d9e6c975,13,2
H0619,HBG_67a4ca9c3dec,2,2
H0622,HBG_e9f08ce953e9,78,1
H0624,HBG_1b8c1875da4c,9,2
H0625,HBG_b333db010a78,248,17
H0627,HBG_0c3767419c38,7,1
H0629,HBG_507e5adc452e,126,23
H0631,HBG_84dff7648550,91,16
H0634,HBG_7193e93a12cb,64,3
H0635,HBG_7193e93a12cb,64,3
H0636,HBG_a401f7ece236,21,5
H0637,HBG_fffa0acae2cb,255,21
H0638,HBG_a30fde5af80d,169,11
H0640,HBG_3baa0b8af928,57,13
H0641,HBG_1f421def47a3,2,1
H0645,HBG_bf0d6a06d1f8,2,1
H0646,HBG_3f503109dfd4,83,3
H0647,HBG_28b26b19c3e6,35,10
H0648,HBG_5bc9543182ec,169,10
H0649,HBG_5bc9543182ec,169,10
H0650,HBG_b0968ba6c3b1,340,36
H0651,HBG_c2ee1a3368d3,175,38
H0652,HBG_c2ee1a3368d3,175,38
H0653,HBG_a12f576b905f,7,1
H0654,HBG_0d75e84c8cdd,9,1
H0657,HBG_35ea648b06d0,13,1
H0658,HBG_43e14141a333,222,6
H0659,HBG_b0968ba6c3b1,336,30
H0660,HBG_7ecce4367dd5,4,1
H0662,HBG_e946ed2a81b3,3,2
H0665,HBG_b0968ba6c3b1,336,30
H0666,HBG_967697e956c2,19,5
H0667,HBG_a8bfad9364eb,48,6
H0668,HBG_1c7a88bf329e,152,3
H0669,HBG_67853cc36d52,71,10
H0671,HBG_38943549616b,44,6
H0673,HBG_fb73341b109a,83,14
H0674,HBG_f2c821eb8699,48,9
H0675,HBG_f2c821eb8699,48,9
H0676,HBG_f2c821eb8699,48,9
H0677,HBG_829d47387bff,69,3
H0678,HBG_f2c821eb8699,48,9
H0679,HBG_bb8a0a88cbe8,324,23
H0680,HBG_5ef6a3caed67,208,3
H0681,HBG_5ef6a3caed67,208,3
H0682,HBG_ef58b94c11ae,136,18
H0683,HBG_0334116fede0,39,4
H0685,HBG_5e9c38c57c16,68,9
H0686,HBG_beb7281626fa,13,4
H0687,HBG_aa103c698008,1,1
H0688,HBG_be975cb58574,114,14
H0689,HBG_41def223e543,66,4
H0695,HBG_1c6fe51c19dd,179,16
H0696,HBG_4f8f7d4e5791,277,12
H0698,HBG_8135810d7aa0,228,8
H0700,HBG_ca9ad5720e39,59,10
H0702,HBG_3bb72e548ddf,46,7
