panel,ablation,seed,value,summary_type,mean,notes,ablation_id,metric,validation_only
A,No target-target context,FINAL_01,0.009096316570667229,seed-level paired validation delta,-0.0003415715556636778,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,paired delta macro AUPR,True
A,No target-target context,FINAL_02,-0.007731493775798293,seed-level paired validation delta,-0.0003415715556636778,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,paired delta macro AUPR,True
A,No target-target context,FINAL_03,-0.008269746768390096,seed-level paired validation delta,-0.0003415715556636778,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,paired delta macro AUPR,True
A,No target-target context,FINAL_04,0.0027611053158068666,seed-level paired validation delta,-0.0003415715556636778,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,paired delta macro AUPR,True
A,No target-target context,FINAL_05,0.0024359608793959042,seed-level paired validation delta,-0.0003415715556636778,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,paired delta macro AUPR,True
B,No target-target context,,-0.0003415715556636778,mean paired validation delta,-0.0003415715556636778,Panel B summary; displayed as -0.0003. Validation-only; not part of sealed-test ranking. Target-target context removed. Panel A: No target-target; Panel B: No target-target.,ABL01,mean paired delta macro AUPR,True
A,No compound-target context,FINAL_01,0.008017047782321485,seed-level paired validation delta,-0.0009200758632812667,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,paired delta macro AUPR,True
A,No compound-target context,FINAL_02,-0.004515910957756386,seed-level paired validation delta,-0.0009200758632812667,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,paired delta macro AUPR,True
A,No compound-target context,FINAL_03,-0.0029943590629931682,seed-level paired validation delta,-0.0009200758632812667,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,paired delta macro AUPR,True
A,No compound-target context,FINAL_04,0.0001560825536657262,seed-level paired validation delta,-0.0009200758632812667,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,paired delta macro AUPR,True
A,No compound-target context,FINAL_05,-0.00526323963164399,seed-level paired validation delta,-0.0009200758632812667,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,paired delta macro AUPR,True
