herb_id,positive_degree,candidate_target_count,unique_negative_capacity,requested_negative_count,capacity_deficit,saturation_flag,exact_per_herb_quota_possible,duplicate_negative_count,false_negative_against_train_labels
H0002,145,2309,2164,145,0,False,True,0,0
H0580,78,2309,2231,78,0,False,True,0,0
H0581,345,2309,1964,345,0,False,True,0,0
H0582,189,2309,2120,189,0,False,True,0,0
H0583,345,2309,1964,345,0,False,True,0,0
H0584,23,2309,2286,23,0,False,True,0,0
H0585,316,2309,1993,316,0,False,True,0,0
H0586,1,2309,2308,1,0,False,True,0,0
H0587,1,2309,2308,1,0,False,True,0,0
H0588,9,2309,2300,9,0,False,True,0,0
H0589,7,2309,2302,7,0,False,True,0,0
H0590,65,2309,2244,65,0,False,True,0,0
H0591,260,2309,2049,260,0,False,True,0,0
H0592,65,2309,2244,65,0,False,True,0,0
H0593,2,2309,2307,2,0,False,True,0,0
H0595,46,2309,2263,46,0,False,True,0,0
H0597,23,2309,2286,23,0,False,True,0,0
H0598,2,2309,2307,2,0,False,True,0,0
H0599,2,2309,2307,2,0,False,True,0,0
H0600,2,2309,2307,2,0,False,True,0,0
H0601,299,2309,2010,299,0,False,True,0,0
H0602,299,2309,2010,299,0,False,True,0,0
H0603,92,2309,2217,92,0,False,True,0,0
H0605,331,2309,1978,331,0,False,True,0,0
H0606,160,2309,2149,160,0,False,True,0,0
H0607,326,2309,1983,326,0,False,True,0,0
H0608,326,2309,1983,326,0,False,True,0,0
H0609,326,2309,1983,326,0,False,True,0,0
H0611,1,2309,2308,1,0,False,True,0,0
H0612,269,2309,2040,269,0,False,True,0,0
H0614,268,2309,2041,268,0,False,True,0,0
H0615,108,2309,2201,108,0,False,True,0,0
H0616,28,2309,2281,28,0,False,True,0,0
H0618,13,2309,2296,13,0,False,True,0,0
H0619,2,2309,2307,2,0,False,True,0,0
H0622,78,2309,2231,78,0,False,True,0,0
H0624,9,2309,2300,9,0,False,True,0,0
H0625,248,2309,2061,248,0,False,True,0,0
H0627,7,2309,2302,7,0,False,True,0,0
H0629,126,2309,2183,126,0,False,True,0,0
H0631,91,2309,2218,91,0,False,True,0,0
H0634,64,2309,2245,64,0,False,True,0,0
H0635,64,2309,2245,64,0,False,True,0,0
H0636,21,2309,2288,21,0,False,True,0,0
H0637,255,2309,2054,255,0,False,True,0,0
H0638,169,2309,2140,169,0,False,True,0,0
H0640,57,2309,2252,57,0,False,True,0,0
H0641,2,2309,2307,2,0,False,True,0,0
H0645,2,2309,2307,2,0,False,True,0,0
H0646,83,2309,2226,83,0,False,True,0,0
H0647,35,2309,2274,35,0,False,True,0,0
H0648,169,2309,2140,169,0,False,True,0,0
H0649,169,2309,2140,169,0,False,True,0,0
H0650,340,2309,1969,340,0,False,True,0,0
H0651,175,2309,2134,175,0,False,True,0,0
H0652,175,2309,2134,175,0,False,True,0,0
H0653,7,2309,2302,7,0,False,True,0,0
H0654,9,2309,2300,9,0,False,True,0,0
H0657,13,2309,2296,13,0,False,True,0,0
H0658,222,2309,2087,222,0,False,True,0,0
H0659,336,2309,1973,336,0,False,True,0,0
H0660,4,2309,2305,4,0,False,True,0,0
H0662,3,2309,2306,3,0,False,True,0,0
H0665,336,2309,1973,336,0,False,True,0,0
H0666,19,2309,2290,19,0,False,True,0,0
H0667,48,2309,2261,48,0,False,True,0,0
H0668,152,2309,2157,152,0,False,True,0,0
H0669,71,2309,2238,71,0,False,True,0,0
H0671,44,2309,2265,44,0,False,True,0,0
H0673,83,2309,2226,83,0,False,True,0,0
H0674,48,2309,2261,48,0,False,True,0,0
H0675,48,2309,2261,48,0,False,True,0,0
H0676,48,2309,2261,48,0,False,True,0,0
H0677,69,2309,2240,69,0,False,True,0,0
H0678,48,2309,2261,48,0,False,True,0,0
H0679,324,2309,1985,324,0,False,True,0,0
H0680,208,2309,2101,208,0,False,True,0,0
H0681,208,2309,2101,208,0,False,True,0,0
H0682,136,2309,2173,136,0,False,True,0,0
H0683,39,2309,2270,39,0,False,True,0,0
H0685,68,2309,2241,68,0,False,True,0,0
H0686,13,2309,2296,13,0,False,True,0,0
H0687,1,2309,2308,1,0,False,True,0,0
H0688,114,2309,2195,114,0,False,True,0,0
H0689,66,2309,2243,66,0,False,True,0,0
H0695,179,2309,2130,179,0,False,True,0,0
H0696,277,2309,2032,277,0,False,True,0,0
H0698,228,2309,2081,228,0,False,True,0,0
H0700,59,2309,2250,59,0,False,True,0,0
H0702,46,2309,2263,46,0,False,True,0,0
H0703,27,2309,2282,27,0,False,True,0,0
H0704,149,2309,2160,149,0,False,True,0,0
H0705,170,2309,2139,170,0,False,True,0,0
H0706,85,2309,2224,85,0,False,True,0,0
H0707,210,2309,2099,210,0,False,True,0,0
H0708,210,2309,2099,210,0,False,True,0,0
H0709,69,2309,2240,69,0,False,True,0,0
H0710,210,2309,2099,210,0,False,True,0,0
H0711,210,2309,2099,210,0,False,True,0,0
H0712,20,2309,2289,20,0,False,True,0,0
H0713,170,2309,2139,170,0,False,True,0,0
H0714,336,2309,1973,336,0,False,True,0,0
H0715,136,2309,2173,136,0,False,True,0,0
H0716,245,2309,2064,245,0,False,True,0,0
H0717,245,2309,2064,245,0,False,True,0,0
H0718,43,2309,2266,43,0,False,True,0,0
H0719,76,2309,2233,76,0,False,True,0,0
H0720,70,2309,2239,70,0,False,True,0,0
H0721,133,2309,2176,133,0,False,True,0,0
H0722,24,2309,2285,24,0,False,True,0,0
H0723,12,2309,2297,12,0,False,True,0,0
H0725,60,2309,2249,60,0,False,True,0,0
H0726,5,2309,2304,5,0,False,True,0,0
H0727,156,2309,2153,156,0,False,True,0,0
H0728,4,2309,2305,4,0,False,True,0,0
H0730,264,2309,2045,264,0,False,True,0,0
H0731,14,2309,2295,14,0,False,True,0,0
H0733,334,2309,1975,334,0,False,True,0,0
H0734,224,2309,2085,224,0,False,True,0,0
H0735,80,2309,2229,80,0,False,True,0,0
H0736,45,2309,2264,45,0,False,True,0,0
H0737,5,2309,2304,5,0,False,True,0,0
H0738,27,2309,2282,27,0,False,True,0,0
H0740,134,2309,2175,134,0,False,True,0,0
H0741,45,2309,2264,45,0,False,True,0,0
H0742,1,2309,2308,1,0,False,True,0,0
H0743,128,2309,2181,128,0,False,True,0,0
H0745,316,2309,1993,316,0,False,True,0,0
