herb_id,P1_group_signature,P2_group_signature,same_member_set,P2_added_connectivity,difference_reason
H0001,P1SIG_6033a296141f,P2SIG_6033a296141f,True,False,
H0002,P1SIG_c7cf09940944,P2SIG_c7cf09940944,True,False,
H0003,P1SIG_aaf603a01cbb,P2SIG_aaf603a01cbb,True,False,
H0004,P1SIG_fb66ebdaeeb7,P2SIG_fb66ebdaeeb7,True,False,
H0005,P1SIG_a293c605eef1,P2SIG_a293c605eef1,True,False,
H0006,P1SIG_09d240b0d799,P2SIG_09d240b0d799,True,False,
H0007,P1SIG_73a6e8381336,P2SIG_73a6e8381336,True,False,
H0008,P1SIG_8a464c1150b8,P2SIG_8a464c1150b8,True,False,
H0009,P1SIG_9e096939c148,P2SIG_9e096939c148,True,False,
H0010,P1SIG_d0375c911ce0,P2SIG_d0375c911ce0,True,False,
H0011,P1SIG_0a33d5099e23,P2SIG_0a33d5099e23,True,False,
H0012,P1SIG_420c94e2b3f6,P2SIG_420c94e2b3f6,True,False,
H0013,P1SIG_09ea31ca8958,P2SIG_09ea31ca8958,True,False,
H0014,P1SIG_b461cb2f02b4,P2SIG_b461cb2f02b4,True,False,
H0015,P1SIG_5df6ebecfee4,P2SIG_5df6ebecfee4,True,False,
H0016,P1SIG_70ffc16b529b,P2SIG_70ffc16b529b,True,False,
H0017,P1SIG_8d51e4930e0d,P2SIG_8d51e4930e0d,True,False,
H0018,P1SIG_d5198175a674,P2SIG_d5198175a674,True,False,
H0019,P1SIG_609c304b4596,P2SIG_609c304b4596,True,False,
H0020,P1SIG_971307da6658,P2SIG_971307da6658,True,False,
H0021,P1SIG_6e45041dcc74,P2SIG_6e45041dcc74,True,False,
H0022,P1SIG_c621ae793c3d,P2SIG_c621ae793c3d,True,False,
H0023,P1SIG_6a3f70a039af,P2SIG_6a3f70a039af,True,False,
H0024,P1SIG_d75df6c4a386,P2SIG_d75df6c4a386,True,False,
H0025,P1SIG_3e9e70f014b5,P2SIG_3e9e70f014b5,True,False,
H0026,P1SIG_816cee921353,P2SIG_816cee921353,True,False,
H0027,P1SIG_c0aee8e1706c,P2SIG_c0aee8e1706c,True,False,
H0028,P1SIG_1e7a78a59ac0,P2SIG_1e7a78a59ac0,True,False,
H0029,P1SIG_f57e849cee44,P2SIG_f57e849cee44,True,False,
H0030,P1SIG_451375b97916,P2SIG_451375b97916,True,False,
H0031,P1SIG_d5e4138b9246,P2SIG_d5e4138b9246,True,False,
H0032,P1SIG_4b1c72edc5dc,P2SIG_4b1c72edc5dc,True,False,
H0033,P1SIG_48ded1d3302f,P2SIG_48ded1d3302f,True,False,
H0034,P1SIG_7527298cea64,P2SIG_7527298cea64,True,False,
H0035,P1SIG_8ea0937ca3c6,P2SIG_8ea0937ca3c6,True,False,
H0036,P1SIG_95d97bde754e,P2SIG_95d97bde754e,True,False,
H0037,P1SIG_c28e2aebc877,P2SIG_c28e2aebc877,True,False,
H0038,P1SIG_3124325fc5d7,P2SIG_3124325fc5d7,True,False,
H0039,P1SIG_8f1a3c1a28a0,P2SIG_8f1a3c1a28a0,True,False,
H0040,P1SIG_6ce35231c8e2,P2SIG_6ce35231c8e2,True,False,
H0041,P1SIG_4908e4e80fd2,P2SIG_4908e4e80fd2,True,False,
H0042,P1SIG_a3274ea4d2ac,P2SIG_a3274ea4d2ac,True,False,
H0043,P1SIG_a31373d8b238,P2SIG_a31373d8b238,True,False,
H0044,P1SIG_1aa82c7db728,P2SIG_1aa82c7db728,True,False,
H0045,P1SIG_13fc924be3e1,P2SIG_13fc924be3e1,True,False,
H0046,P1SIG_fa330c6da92b,P2SIG_fa330c6da92b,True,False,
H0047,P1SIG_bf8b5230c2ef,P2SIG_bf8b5230c2ef,True,False,
H0048,P1SIG_33cfc130abfd,P2SIG_33cfc130abfd,True,False,
H0049,P1SIG_0c1a772b814e,P2SIG_0c1a772b814e,True,False,
H0050,P1SIG_415bc1cab7b0,P2SIG_415bc1cab7b0,True,False,
H0051,P1SIG_e9c50fe6718d,P2SIG_e9c50fe6718d,True,False,
H0052,P1SIG_0b29c5ef152f,P2SIG_0b29c5ef152f,True,False,
H0053,P1SIG_a8eeafbdba48,P2SIG_a8eeafbdba48,True,False,
H0054,P1SIG_60476bb8a197,P2SIG_60476bb8a197,True,False,
H0055,P1SIG_68f659cd4991,P2SIG_68f659cd4991,True,False,
H0056,P1SIG_005628e0e7c1,P2SIG_005628e0e7c1,True,False,
H0057,P1SIG_013c8034d077,P2SIG_013c8034d077,True,False,
H0058,P1SIG_1abc2c8d0407,P2SIG_1abc2c8d0407,True,False,
H0059,P1SIG_2b0daa529576,P2SIG_2b0daa529576,True,False,
H0060,P1SIG_7aa668a52fc9,P2SIG_7aa668a52fc9,True,False,
H0061,P1SIG_3bbcd1186275,P2SIG_3bbcd1186275,True,False,
H0063,P1SIG_ea3f697c44e9,P2SIG_ea3f697c44e9,True,False,
H0064,P1SIG_e6b5c54a7bd3,P2SIG_e6b5c54a7bd3,True,False,
H0065,P1SIG_a8880224b0de,P2SIG_a8880224b0de,True,False,
H0066,P1SIG_eb5ee4fffb9f,P2SIG_eb5ee4fffb9f,True,False,
H0067,P1SIG_c6eb1610999f,P2SIG_c6eb1610999f,True,False,
H0068,P1SIG_8675e75ba87d,P2SIG_8675e75ba87d,True,False,
H0069,P1SIG_7d4ec12d686b,P2SIG_7d4ec12d686b,True,False,
