split_blocking_group_id,total_group_member_count,benchmark_eligible_member_count,benchmark_positive_herb_count,benchmark_context_only_member_count,benchmark_ineligible_member_count,positive_pair_count,positive_degree_min,positive_degree_max,positive_degree_mean,compound_context_member_count,no_compound_context_member_count,D01_count,D02_count,D03_count,D04_count,D05_count,D06_count,D07_count,D08_count,contains_H0847,group_protocol_status,future_assignment_unit
HBG_005628e0e7c1,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_008fb938cf34,1,1,1,0,0,10,10,10,10.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_00b7bc63c9b2,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_00cf0ff0d299,1,1,1,0,0,268,268,268,268.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_00e1946398f7,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_01280f0541a1,1,1,1,0,0,92,92,92,92.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_013c8034d077,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_014b20d392a8,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_01974337c0b6,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_01a172d77d34,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_01a40ac6bac4,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_01b5eececfe9,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0226177b6285,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_02844fcf48ab,1,1,1,0,0,317,317,317,317.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_02b0c6b80aab,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_02f6e3c66dff,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_02fac5b87e7e,1,1,1,0,0,11,11,11,11.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0334116fede0,1,1,1,0,0,39,39,39,39.0,1,0,0,0,0,1,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0337cf72ccba,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_03c79ad1832e,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_03d1fa53466f,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_03d225e78075,1,1,1,0,0,208,208,208,208.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_03eceaf747d7,1,1,1,0,0,12,12,12,12.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_040ab2801ceb,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_040d5c2eb105,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_045a2b72d60d,1,1,1,0,0,46,46,46,46.0,1,0,0,0,0,1,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_04c124fe2872,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_04cf9df84c0b,3,3,3,0,0,15,5,5,5.0,3,0,0,3,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0530df36afaf,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_05638e08eab1,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0592e812a8ef,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_05c355e99122,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_05d279bc2a51,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0620410523cb,1,1,1,0,0,9,9,9,9.0,1,0,0,1,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0627575a93de,2,2,2,0,0,132,66,66,66.0,2,0,0,0,0,0,2,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
