current_target_id,current_source_gene_symbol,source_internal_target_ids,source_uniprot_values,hgnc_match_type,hgnc_id,hgnc_approved_symbol,hgnc_status,matched_by,alias_or_previous_symbol,ncbi_gene_id,ncbi_official_symbol,uniprot_human_reviewed_accessions,uniprot_human_unreviewed_accessions,nonhuman_accessions_detected,obsolete_or_deleted_accessions,canonical_gene_identity_status,protein_product_mapping_status,sequence_feature_status,composite_status,proposed_canonical_target_id,proposed_operation,confidence,manual_approval_required,evidence_urls,authority_snapshot_hashes,notes,approved_final_operation,included_in_primary_graph,approval_reference
AAGAB,AAGAB,T62QDU,Q6PD74,Approved symbol exact,HGNC:25662,AAGAB,Approved,HGNC approved symbol exact,,79719,AAGAB,Q6PD74,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,AAGAB,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:25662|https://www.ncbi.nlm.nih.gov/gene/79719|https://rest.uniprot.org/uniprotkb/Q6PD74.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
AATF,AATF,T02JCT,Q9NY61,Approved symbol exact,HGNC:19235,AATF,Approved,HGNC approved symbol exact,,26574,AATF,Q9NY61,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,AATF,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:19235|https://www.ncbi.nlm.nih.gov/gene/26574|https://rest.uniprot.org/uniprotkb/Q9NY61.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABAT,ABAT,T68XXK,P80404,Approved symbol exact,HGNC:23,ABAT,Approved,HGNC approved symbol exact,,18,ABAT,P80404,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABAT,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:23|https://www.ncbi.nlm.nih.gov/gene/18|https://rest.uniprot.org/uniprotkb/P80404.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCA1,ABCA1,T61DYZ,O95477,Approved symbol exact,HGNC:29,ABCA1,Approved,HGNC approved symbol exact,,19,ABCA1,O95477,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCA1,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:29|https://www.ncbi.nlm.nih.gov/gene/19|https://rest.uniprot.org/uniprotkb/O95477.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCB1,ABCB1,T50WOV,P08183,Approved symbol exact,HGNC:40,ABCB1,Approved,HGNC approved symbol exact,,5243,ABCB1,P08183,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCB1,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:40|https://www.ncbi.nlm.nih.gov/gene/5243|https://rest.uniprot.org/uniprotkb/P08183.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCB11,ABCB11,T64LKA,O95342,Approved symbol exact,HGNC:42,ABCB11,Approved,HGNC approved symbol exact,,8647,ABCB11,O95342,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCB11,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:42|https://www.ncbi.nlm.nih.gov/gene/8647|https://rest.uniprot.org/uniprotkb/O95342.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCB4,ABCB4,T08THQ,P21439,Approved symbol exact,HGNC:45,ABCB4,Approved,HGNC approved symbol exact,,5244,ABCB4,P21439,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCB4,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:45|https://www.ncbi.nlm.nih.gov/gene/5244|https://rest.uniprot.org/uniprotkb/P21439.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCB6,ABCB6,T37CIB,Q9NP58,Approved symbol exact,HGNC:47,ABCB6,Approved,HGNC approved symbol exact,,10058,ABCB6,Q9NP58,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCB6,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:47|https://www.ncbi.nlm.nih.gov/gene/10058|https://rest.uniprot.org/uniprotkb/Q9NP58.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCC1,ABCC1,T21EGX,P33527,Approved symbol exact,HGNC:51,ABCC1,Approved,HGNC approved symbol exact,,4363,ABCC1,P33527,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCC1,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:51|https://www.ncbi.nlm.nih.gov/gene/4363|https://rest.uniprot.org/uniprotkb/P33527.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCC2,ABCC2,T39M6J,Q92887,Approved symbol exact,HGNC:53,ABCC2,Approved,HGNC approved symbol exact,,1244,ABCC2,Q92887,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCC2,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:53|https://www.ncbi.nlm.nih.gov/gene/1244|https://rest.uniprot.org/uniprotkb/Q92887.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
